#time  x  y  z  vx  vy  vz
0.00 -377.77 611.47 -284.60 73.45 -73.74 45.62
71.43 -372.42 606.23 -281.09 69.98 -77.29 47.18
142.86 -367.22 600.88 -277.49 72.71 -74.59 48.07
214.29 -360.96 594.79 -273.71 78.93 -85.82 49.97
285.71 -356.48 589.85 -270.41 72.18 -79.70 47.41
357.14 -351.28 584.14 -266.96 69.97 -80.37 49.58
428.57 -346.16 578.31 -263.62 72.79 -83.72 48.22
500.00 -341.66 572.60 -260.52 71.85 -90.14 43.82
571.43 -336.53 566.22 -256.78 64.18 -82.03 50.13
642.86 -331.96 560.22 -253.51 60.66 -85.81 46.67
714.29 -327.76 554.33 -250.35 59.26 -82.13 42.09
785.71 -323.83 548.53 -247.26 49.09 -76.86 45.13
857.14 -320.26 543.01 -244.39 52.21 -77.45 37.49
928.57 -316.79 537.69 -241.54 45.80 -71.21 41.99
1000.00 -314.21 532.80 -238.25 44.13 -69.91 44.09
1071.43 -310.34 527.69 -235.12 39.53 -67.33 49.57
1142.86 -307.19 523.02 -231.55 45.86 -63.36 52.26
1214.29 -304.28 518.56 -227.63 48.81 -61.16 55.04
1285.71 -300.39 514.02 -223.91 50.31 -55.89 57.66
1357.14 -296.83 509.68 -219.79 51.11 -61.41 55.50
1428.57 -292.96 505.27 -215.52 53.05 -58.05 64.87
1500.00 -288.93 500.85 -211.06 61.85 -60.89 59.14
1571.43 -284.72 496.35 -206.50 59.77 -61.55 61.56
1642.86 -280.22 491.72 -201.83 61.46 -67.77 63.16
1714.29 -275.57 487.01 -197.07 72.80 -69.03 66.89
1785.71 -270.59 482.12 -192.13 71.70 -69.84 66.79
1857.14 -265.43 477.27 -187.32 72.73 -65.64 69.72
1928.57 -260.03 472.15 -182.15 78.12 -69.26 73.16
2000.00 -254.42 467.03 -177.26 75.38 -72.07 70.54
2071.43 -248.72 461.65 -172.15 78.11 -76.77 73.63
2142.86 -242.65 456.01 -167.02 86.18 -81.88 74.08
2214.29 -236.33 450.15 -161.76 90.19 -84.49 71.62
2285.71 -230.09 444.39 -156.66 85.25 -83.37 68.80
2357.14 -224.00 438.14 -151.06 88.19 -87.29 70.37
2428.57 -217.60 431.70 -145.70 91.42 -88.93 71.86
2500.00 -211.17 425.09 -140.46 87.42 -93.41 76.97
2571.43 -204.66 418.26 -135.17 91.26 -97.80 75.73
2642.86 -198.11 411.24 -129.78 88.17 -101.35 76.99
2714.29 -191.41 404.20 -124.48 99.13 -103.10 76.06
2785.71 -184.53 396.96 -119.11 95.32 -100.07 76.75
2857.14 -177.80 389.60 -113.57 94.05 -104.03 79.17
2928.57 -170.88 382.00 -107.94 103.40 -109.22 78.36
3000.00 -163.83 374.14 -102.28 102.00 -107.07 79.74
3071.43 -156.72 365.92 -96.37 99.93 -116.26 85.51
3142.86 -149.33 357.47 -90.38 103.15 -121.34 89.42
3214.29 -142.03 348.79 -84.31 103.69 -124.98 84.60
3285.71 -134.46 339.75 -78.22 108.40 -132.41 85.31
3357.14 -127.55 330.78 -71.81 109.66 -137.91 89.62
3428.57 -118.78 320.12 -65.39 110.76 -141.19 89.93
3500.00 -110.56 309.51 -59.23 118.23 -153.57 86.52
3571.43 -102.06 297.83 -52.99 121.00 -166.69 85.36
3642.86 -93.47 285.37 -46.92 123.60 -182.55 81.20
3714.29 -84.41 271.68 -41.13 125.31 -201.18 79.56
3785.71 -75.74 256.19 -34.92 128.44 -227.27 70.05
3857.14 -66.47 239.15 -30.99 118.82 -261.67 55.89
3928.57 -58.44 219.15 -28.24 95.89 -300.34 17.70
4000.00 -53.56 197.83 -29.50 41.85 -286.97 -58.25
4071.43 -51.60 179.82 -35.19 11.45 -231.83 -69.34
4142.86 -50.68 165.34 -39.97 10.66 -191.03 -57.13
4214.29 -49.46 153.34 -43.62 18.83 -164.34 -40.75
4285.71 -48.08 142.94 -46.06 21.88 -137.65 -22.50
4357.14 -46.69 133.95 -47.23 17.01 -114.80 -16.92
4428.57 -45.55 126.32 -47.89 15.43 -100.00 -5.48
4500.00 -44.46 119.92 -48.20 20.82 -82.01 2.05
4571.43 -43.26 114.45 -48.19 14.47 -64.56 2.95
4642.86 -41.89 108.94 -46.72 13.94 -54.26 7.69
4714.29 -40.77 105.47 -45.96 11.23 -43.10 11.67
4785.71 -39.78 102.89 -45.08 11.67 -30.25 14.51
4857.14 -38.68 100.99 -43.94 17.19 -21.40 16.20
4928.57 -37.54 99.91 -42.79 22.21 -11.46 20.97
5000.00 -36.14 99.47 -41.60 16.85 3.09 16.69
5071.43 -34.73 99.49 -40.00 22.08 3.39 24.25
5142.86 -33.12 100.17 -38.25 19.47 13.06 22.20
5214.29 -31.28 101.39 -36.21 26.78 21.50 36.32
5285.71 -29.41 103.10 -33.76 27.75 27.91 35.48
5357.14 -27.22 105.52 -31.11 30.37 35.31 38.59
5428.57 -24.99 108.52 -28.00 34.27 52.80 48.03
5500.00 -22.45 112.28 -24.63 36.02 53.23 50.98
5571.43 -19.75 116.90 -20.73 36.19 69.66 56.18
5642.86 -16.60 122.55 -16.35 48.01 90.19 67.61
5714.29 -13.01 129.65 -11.34 57.16 111.84 80.96
5785.71 -8.30 138.71 -5.09 79.25 147.61 97.91
5857.14 -0.52 150.71 3.24 171.14 156.34 120.27
5928.57 10.50 156.78 9.18 121.93 42.25 54.75
6000.00 17.62 157.90 12.18 72.32 -5.63 32.02
