#time  x  y  z  vx  vy  vz
0.00 -2.04 3.10 -1.47 -5.26 0.92 -6.37
71.43 -1.86 3.11 -1.46 -6.41 11.85 -0.32
142.86 -1.90 3.23 -1.55 -4.19 9.01 -5.40
214.29 -2.23 3.39 -1.59 -3.41 8.83 5.74
285.71 -2.46 3.79 -1.61 -2.95 9.67 -5.91
357.14 -2.63 4.36 -1.57 -3.07 7.53 -2.16
428.57 -3.31 4.66 -1.63 -3.34 5.69 -1.11
500.00 -3.46 5.59 -1.82 -9.97 9.52 -10.69
571.43 -3.68 6.12 -2.04 -0.38 4.13 -1.69
642.86 -3.92 6.57 -2.16 -4.33 11.22 3.43
714.29 -4.01 7.01 -2.22 -4.19 12.36 0.45
785.71 -4.44 7.44 -2.56 -2.87 9.29 -11.11
857.14 -5.14 8.20 -3.18 -10.90 9.14 -8.91
928.57 -5.94 9.09 -3.71 -11.34 5.04 -9.29
1000.00 -6.57 10.25 -4.30 -1.36 3.45 -8.06
1071.43 -7.01 11.07 -4.87 -1.30 4.75 -11.16
1142.86 -7.48 12.06 -5.62 -6.09 11.86 -7.98
1214.29 -8.08 13.19 -6.40 -9.84 12.88 -9.92
1285.71 -8.68 14.52 -7.15 -7.75 22.31 -7.70
1357.14 -9.25 15.87 -7.94 -14.54 21.55 -15.56
1428.57 -9.93 17.08 -8.83 -7.41 12.51 -10.91
1500.00 -10.69 18.32 -9.81 -11.37 17.88 -12.81
1571.43 -11.50 19.72 -10.85 -18.40 24.52 -12.60
1642.86 -12.40 21.41 -11.80 -19.68 24.35 -8.94
1714.29 -13.34 23.29 -12.74 -10.03 27.42 -13.14
1785.71 -14.36 25.29 -13.75 -15.54 32.16 -15.46
1857.14 -15.36 27.23 -14.82 -23.90 22.65 -8.29
1928.57 -16.62 29.30 -15.78 -22.89 25.51 -19.62
2000.00 -18.26 31.62 -16.88 -17.68 27.91 -13.60
2071.43 -19.76 34.21 -17.99 -26.67 38.51 -17.30
2142.86 -21.28 37.04 -19.18 -14.81 47.10 -20.57
2214.29 -22.65 39.93 -20.44 -17.62 40.12 -22.26
2285.71 -24.29 42.83 -21.83 -23.38 41.54 -15.12
