#time  x  y  z  vx  vy  vz
0.00 -98.56 -119.99 -127.76 -29.97 174.16 94.02
1.00 -128.53 54.18 -33.74 -29.97 174.16 94.02
2.00 -158.51 228.34 60.28 -29.97 174.16 94.02
3.00 -188.48 402.50 154.30 -29.97 174.16 94.02
4.00 -218.45 576.67 248.32 -29.97 174.16 94.02
5.00 -248.42 750.83 342.34 -29.97 174.16 94.02
6.00 -278.39 925.00 436.36 -29.97 174.16 94.02
7.00 -308.36 1099.16 530.38 -29.97 174.16 94.02
8.00 -338.33 1273.33 624.40 -29.97 174.16 94.02
9.00 -368.31 1447.49 718.43 -29.97 174.16 94.02
10.00 -398.28 1621.66 812.45 -29.97 174.16 94.02
