Time	First	Second	Third	Fourth	Fifth	Sixth	Seventh
0.00 98011278.99 8538861.43 3233347.98 1709802.59 1015027.82 657004.48 455809.38
14.29 53460697.63 8745114.12 3407399.84 1783763.51 1023686.83 665622.59 476147.33
28.57 44550581.36 9570124.89 3568063.09 1781588.19 1076602.97 692490.83 477642.77
42.86 8910116.27 8167606.58 3086073.33 1633666.34 984240.25 639768.25 450126.72
57.14 62370813.91 7755101.20 3414094.14 1694575.34 1006368.82 661567.01 465978.35
71.43 98011278.99 8332608.74 3280208.09 1685874.05 1031383.72 678296.29 462688.39
85.71 80191046.45 8373859.27 3327068.21 1772886.90 1047739.62 684379.66 473156.45
100.00 35640465.09 8043854.97 3092767.63 1651068.91 1006368.82 659539.22 461192.95
114.29 98011278.99 9116368.96 3554674.49 1731555.80 1046777.51 691476.93 476745.50
128.57 106921395.27 7466347.43 3099461.93 1672822.12 1015989.93 664608.70 461492.04
142.86 62370813.91 8415109.81 3280208.09 1638016.98 1005406.71 681337.98 467174.70
157.14 53460697.63 7755101.20 3112850.54 1690224.69 1020800.49 682351.87 474053.72
171.43 26730348.82 8002604.43 3306985.30 1722854.51 1028497.39 670185.12 462389.30
185.71 80191046.45 8621362.50 3347151.12 1716328.55 1072754.52 680831.03 469567.40
200.00 80191046.45 7136343.13 3072684.72 1694575.34 1032345.83 673226.81 470464.67
214.29 106921395.27 8002604.43 3199876.47 1666296.16 990012.92 642809.94 454613.03
228.57 124741627.81 7796351.74 3206570.77 1679348.09 1037156.39 673733.76 467772.88
242.86 62370813.91 8085105.51 3300291.00 1640192.30 980391.80 642809.94 454014.85
257.14 53460697.63 7713850.66 3153016.35 1624965.05 980391.80 657004.48 454014.85
271.43 80191046.45 8992617.35 3240042.28 1677172.77 1031383.72 678803.24 474053.72
285.71 71280930.18 8002604.43 2992353.10 1633666.34 986164.47 648386.36 458800.25
300.00 62370813.91 7466347.43 3065990.42 1624965.05 1021762.60 663087.85 459996.60
314.29 53460697.63 7507597.97 3139627.75 1679348.09 1030421.61 667143.44 469567.40
328.57 80191046.45 8208857.12 3193182.17 1744607.73 1047739.62 680324.08 473455.54
342.86 71280930.18 8085105.51 3260125.19 1766360.94 1041004.84 683365.77 473455.54
357.14 71280930.18 8126356.04 3099461.93 1648893.59 1012141.49 676268.50 471062.84
371.43 17820232.54 7177593.66 3253430.89 1677172.77 1005406.71 677789.34 470165.58
385.71 98011278.99 7796351.74 3126239.14 1714153.23 1038118.50 677789.34 468071.97
400.00 80191046.45 9446373.27 3568063.09 1790289.48 1064095.52 711247.90 489905.36
414.29 44550581.36 9157619.50 3467648.56 1770711.58 1047739.62 686407.46 469567.40
428.57 71280930.18 8085105.51 3166404.96 1609737.80 985202.36 671705.97 474053.72
442.86 53460697.63 7507597.97 3132933.45 1718503.87 1046777.51 683872.72 479138.21
457.14 44550581.36 9363872.19 3655089.02 1792464.80 1066019.74 696039.47 483325.43
471.43 62370813.91 7136343.13 3414094.14 1772886.90 1045815.40 699081.15 481829.99
485.71 89101162.72 8703863.58 3534591.58 1844672.51 1084299.86 695025.57 490204.44
500.00 71280930.18 8043854.97 3153016.35 1698925.98 1060247.07 688942.19 484521.78
514.29 53460697.63 6352582.90 3240042.28 1762010.30 1053512.29 701615.89 480334.56
528.57 44550581.36 8580111.97 3460954.25 1701101.30 1030421.61 678803.24 476446.42
542.86 115831511.54 9075118.43 3695254.83 1881652.97 1127594.89 737102.25 502766.12
557.14 62370813.91 7631349.59 3280208.09 1679348.09 1064095.52 708713.16 483325.43
571.43 71280930.18 8291358.20 3300291.00 1792464.80 1082375.64 704657.58 488409.92
585.71 71280930.18 9033867.89 3635006.11 1872951.69 1128557.00 728484.13 499177.07
600.00 53460697.63 8910116.27 3447565.65 1822919.30 1081413.53 716317.38 494989.84
614.29 71280930.18 9033867.89 3340456.81 1835971.22 1084299.86 707699.27 488709.01
628.57 106921395.27 8992617.35 3400705.53 1788114.15 1060247.07 702629.79 486914.48
642.86 80191046.45 9075118.43 3608228.90 1862075.08 1105466.32 708713.16 493195.32
657.14 106921395.27 9446373.27 3380622.63 1809867.37 1117011.66 706178.42 486017.22
671.43 98011278.99 8415109.81 3286902.40 1764185.62 1065057.63 702122.84 492298.06
685.71 44550581.36 8827615.20 3668477.62 1796815.44 1096807.32 711247.90 491998.97
700.00 44550581.36 8662613.04 3360539.72 1779412.87 1076602.97 706178.42 484521.78
714.29 89101162.72 7260094.74 3226653.68 1790289.48 1072754.52 700095.05 486615.39
728.57 53460697.63 8250107.66 3407399.84 1781588.19 1067943.97 691983.88 483923.61
742.86 80191046.45 8786364.66 3460954.25 1877302.33 1126632.78 721386.86 493494.41
757.14 62370813.91 7218844.20 3206570.77 1655419.55 1016952.05 685393.56 471960.10
771.43 80191046.45 7713850.66 3300291.00 1677172.77 1030421.61 681337.98 483325.43
785.71 53460697.63 8085105.51 3360539.72 1807692.05 1089110.42 720879.91 505756.99
800.00 80191046.45 9075118.43 3347151.12 1738081.76 1082375.64 719866.02 504261.56
