Time	First	Second	Third	Fourth	Fifth	Sixth	Seventh
0.00 24.31 7.91 2.39 1.01 0.50 0.27 0.16
14.29 12.16 8.12 2.53 1.06 0.50 0.28 0.17
28.57 12.16 8.94 2.65 1.06 0.53 0.29 0.17
42.86 0.00 7.60 2.29 0.97 0.48 0.27 0.16
57.14 18.23 7.19 2.53 1.00 0.49 0.27 0.17
71.43 24.31 7.71 2.43 1.00 0.50 0.28 0.17
85.71 18.23 7.81 2.46 1.05 0.51 0.28 0.17
100.00 6.08 7.50 2.29 0.98 0.49 0.27 0.17
114.29 24.31 8.42 2.63 1.02 0.51 0.29 0.17
128.57 24.31 6.99 2.30 0.99 0.50 0.28 0.17
142.86 18.23 7.81 2.43 0.97 0.49 0.28 0.17
157.14 12.16 7.19 2.31 1.00 0.50 0.28 0.17
171.43 6.08 7.40 2.45 1.02 0.50 0.28 0.17
185.71 18.23 8.01 2.49 1.01 0.52 0.28 0.17
200.00 18.23 6.68 2.27 1.00 0.50 0.28 0.17
214.29 24.31 7.40 2.37 0.99 0.48 0.27 0.16
228.57 30.39 7.29 2.38 0.99 0.51 0.28 0.17
242.86 18.23 7.50 2.45 0.97 0.48 0.27 0.16
257.14 12.16 7.19 2.34 0.96 0.48 0.27 0.16
271.43 18.23 8.32 2.41 0.99 0.50 0.28 0.17
285.71 18.23 7.40 2.22 0.97 0.48 0.27 0.17
300.00 18.23 6.99 2.27 0.96 0.50 0.27 0.17
314.29 12.16 6.99 2.33 0.99 0.50 0.28 0.17
328.57 18.23 7.60 2.37 1.03 0.51 0.28 0.17
342.86 18.23 7.50 2.42 1.05 0.51 0.28 0.17
357.14 18.23 7.60 2.30 0.98 0.49 0.28 0.17
371.43 6.08 6.68 2.41 0.99 0.49 0.28 0.17
385.71 24.31 7.29 2.31 1.01 0.51 0.28 0.17
400.00 18.23 8.73 2.65 1.06 0.52 0.30 0.18
414.29 12.16 8.53 2.57 1.05 0.51 0.28 0.17
428.57 18.23 7.50 2.35 0.95 0.48 0.28 0.17
442.86 12.16 6.99 2.33 1.02 0.51 0.28 0.17
457.14 12.16 8.73 2.71 1.06 0.52 0.29 0.17
471.43 18.23 6.68 2.53 1.05 0.51 0.29 0.17
485.71 24.31 8.12 2.62 1.09 0.53 0.29 0.18
500.00 18.23 7.50 2.34 1.00 0.52 0.29 0.17
514.29 12.16 5.86 2.41 1.04 0.51 0.29 0.17
528.57 12.16 8.01 2.57 1.01 0.50 0.28 0.17
542.86 30.39 8.42 2.74 1.11 0.55 0.31 0.18
557.14 18.23 7.09 2.43 0.99 0.52 0.29 0.17
571.43 18.23 7.71 2.45 1.06 0.53 0.29 0.18
585.71 18.23 8.42 2.70 1.11 0.55 0.30 0.18
600.00 12.16 8.32 2.55 1.08 0.53 0.30 0.18
614.29 18.23 8.42 2.47 1.09 0.53 0.29 0.18
628.57 24.31 8.32 2.53 1.06 0.52 0.29 0.18
642.86 18.23 8.42 2.67 1.10 0.54 0.29 0.18
657.14 24.31 8.73 2.50 1.07 0.55 0.29 0.17
671.43 24.31 7.81 2.43 1.05 0.52 0.29 0.18
685.71 12.16 8.22 2.73 1.06 0.54 0.30 0.18
700.00 12.16 8.01 2.49 1.05 0.53 0.29 0.17
714.29 24.31 6.78 2.39 1.06 0.52 0.29 0.17
728.57 12.16 7.71 2.53 1.06 0.52 0.29 0.17
742.86 18.23 8.12 2.57 1.11 0.55 0.30 0.18
757.14 18.23 6.68 2.38 0.98 0.50 0.28 0.17
771.43 18.23 7.19 2.45 0.99 0.50 0.28 0.17
785.71 12.16 7.50 2.49 1.07 0.53 0.30 0.18
800.00 18.23 8.42 2.49 1.03 0.53 0.30 0.18
814.29 6.08 8.42 2.49 1.06 0.52 0.29 0.18
828.57 24.31 7.71 2.37 1.02 0.53 0.30 0.18
842.86 24.31 7.50 2.42 1.01 0.52 0.29 0.17
857.14 24.31 7.71 2.35 0.99 0.50 0.28 0.17
871.43 12.16 7.81 2.61 1.05 0.54 0.30 0.18
885.71 18.23 7.81 2.38 1.02 0.51 0.29 0.18
900.00 18.23 7.60 2.49 1.06 0.51 0.29 0.17
914.29 24.31 7.71 2.62 1.07 0.52 0.30 0.18
928.57 24.31 7.71 2.41 1.01 0.51 0.29 0.17
942.86 18.23 7.60 2.42 1.01 0.50 0.28 0.17
957.14 24.31 8.01 2.46 1.06 0.52 0.30 0.18
971.43 18.23 7.81 2.49 1.06 0.53 0.30 0.18
985.71 24.31 6.37 2.31 1.03 0.51 0.29 0.17
1000.00 18.23 8.01 2.66 1.08 0.53 0.30 0.18
