Time	First	Second	Third	Fourth	Fifth	Sixth	Seventh
0.00 0.01 0.57 1.51 2.60 3.59 4.49 5.34
14.29 0.01 0.58 1.60 2.71 3.62 4.54 5.57
28.57 0.01 0.64 1.67 2.71 3.81 4.73 5.59
42.86 0.00 0.54 1.45 2.48 3.48 4.37 5.27
57.14 0.01 0.51 1.60 2.58 3.55 4.52 5.45
71.43 0.01 0.55 1.54 2.56 3.64 4.63 5.42
85.71 0.01 0.56 1.55 2.69 3.70 4.67 5.54
100.00 0.00 0.54 1.45 2.51 3.55 4.51 5.41
114.29 0.01 0.60 1.66 2.63 3.70 4.72 5.58
128.57 0.01 0.50 1.45 2.54 3.59 4.53 5.41
142.86 0.01 0.56 1.54 2.49 3.55 4.66 5.47
157.14 0.01 0.51 1.46 2.57 3.61 4.66 5.56
171.43 0.00 0.53 1.55 2.62 3.64 4.57 5.42
185.71 0.01 0.57 1.57 2.60 3.79 4.65 5.50
200.00 0.01 0.48 1.44 2.58 3.64 4.60 5.51
214.29 0.01 0.53 1.50 2.53 3.50 4.39 5.32
228.57 0.01 0.52 1.50 2.55 3.66 4.60 5.48
242.86 0.01 0.54 1.55 2.49 3.46 4.39 5.32
257.14 0.01 0.51 1.48 2.47 3.46 4.49 5.32
271.43 0.01 0.60 1.52 2.55 3.64 4.64 5.56
285.71 0.01 0.53 1.40 2.48 3.49 4.42 5.38
300.00 0.01 0.50 1.44 2.47 3.61 4.53 5.39
314.29 0.01 0.50 1.47 2.55 3.64 4.55 5.50
328.57 0.01 0.54 1.50 2.65 3.70 4.65 5.55
342.86 0.01 0.54 1.53 2.68 3.68 4.66 5.55
357.14 0.01 0.54 1.45 2.51 3.58 4.62 5.52
371.43 0.00 0.48 1.52 2.55 3.55 4.63 5.51
385.71 0.01 0.52 1.46 2.60 3.67 4.63 5.48
400.00 0.01 0.62 1.67 2.72 3.76 4.86 5.73
414.29 0.01 0.61 1.62 2.69 3.70 4.68 5.50
428.57 0.01 0.54 1.49 2.44 3.48 4.59 5.56
442.86 0.01 0.50 1.47 2.61 3.70 4.66 5.61
457.14 0.01 0.62 1.71 2.73 3.77 4.75 5.66
471.43 0.01 0.48 1.60 2.69 3.70 4.78 5.64
485.71 0.01 0.58 1.66 2.80 3.84 4.75 5.74
500.00 0.01 0.54 1.48 2.58 3.74 4.70 5.68
514.29 0.01 0.42 1.52 2.68 3.73 4.79 5.62
528.57 0.01 0.57 1.62 2.59 3.64 4.64 5.58
542.86 0.01 0.60 1.73 2.86 3.98 5.04 5.88
557.14 0.01 0.51 1.54 2.55 3.76 4.84 5.66
571.43 0.01 0.55 1.55 2.73 3.83 4.81 5.72
585.71 0.01 0.60 1.71 2.84 3.99 4.97 5.85
600.00 0.01 0.60 1.61 2.77 3.83 4.89 5.80
614.29 0.01 0.60 1.56 2.79 3.84 4.83 5.72
628.57 0.01 0.60 1.60 2.72 3.74 4.79 5.71
642.86 0.01 0.60 1.69 2.83 3.91 4.84 5.77
657.14 0.01 0.62 1.58 2.75 3.95 4.82 5.69
671.43 0.01 0.56 1.54 2.68 3.76 4.79 5.76
685.71 0.01 0.59 1.72 2.73 3.87 4.86 5.76
700.00 0.01 0.57 1.57 2.70 3.81 4.82 5.68
714.29 0.01 0.48 1.51 2.72 3.79 4.78 5.70
728.57 0.01 0.55 1.60 2.71 3.77 4.72 5.67
742.86 0.01 0.58 1.62 2.85 3.98 4.92 5.78
757.14 0.01 0.48 1.50 2.52 3.59 4.68 5.53
771.43 0.01 0.51 1.55 2.55 3.64 4.66 5.66
785.71 0.01 0.54 1.57 2.75 3.85 4.92 5.92
800.00 0.01 0.60 1.57 2.64 3.83 4.91 5.90
814.29 0.00 0.60 1.57 2.72 3.77 4.76 5.72
828.57 0.01 0.55 1.50 2.61 3.84 4.92 5.87
842.86 0.01 0.54 1.53 2.60 3.76 4.76 5.68
857.14 0.01 0.55 1.49 2.54 3.61 4.63 5.58
871.43 0.01 0.56 1.65 2.68 3.89 4.93 5.97
885.71 0.01 0.56 1.50 2.63 3.73 4.77 5.80
900.00 0.01 0.54 1.57 2.73 3.73 4.74 5.65
914.29 0.01 0.55 1.66 2.74 3.80 4.92 5.85
928.57 0.01 0.55 1.52 2.60 3.67 4.78 5.65
942.86 0.01 0.54 1.53 2.60 3.64 4.67 5.59
957.14 0.01 0.57 1.55 2.72 3.76 4.88 5.77
971.43 0.01 0.56 1.57 2.72 3.84 5.01 5.94
985.71 0.01 0.46 1.46 2.65 3.73 4.72 5.69
1000.00 0.01 0.57 1.68 2.77 3.82 4.86 5.82
1014.29 0.01 0.54 1.57 2.71 3.85 4.87 5.80
1028.57 0.01 0.60 1.70 2.74 3.89 4.91 5.88
1042.86 0.01 0.54 1.62 2.73 3.87 5.00 5.94
1057.14 0.01 0.57 1.59 2.69 3.76 4.87 5.80
1071.43 0.01 0.47 1.50 2.56 3.56 4.64 5.55
1085.71 0.01 0.54 1.57 2.60 3.65 4.76 5.71
1100.00 0.00 0.47 1.47 2.56 3.57 4.64 5.48
1114.29 0.01 0.50 1.47 2.64 3.69 4.79 5.70
1128.57 0.01 0.56 1.58 2.66 3.82 4.97 5.87
1142.86 0.01 0.55 1.59 2.71 3.74 4.80 5.74
1157.14 0.01 0.57 1.50 2.62 3.60 4.63 5.55
1171.43 0.01 0.56 1.55 2.56 3.62 4.60 5.50
1185.71 0.00 0.45 1.39 2.46 3.48 4.46 5.33
1200.00 0.01 0.51 1.46 2.50 3.44 4.51 5.40
1214.29 0.01 0.54 1.43 2.47 3.45 4.40 5.20
1228.57 0.01 0.59 1.56 2.49 3.44 4.36 5.20
1242.86 0.01 0.58 1.56 2.58 3.64 4.59 5.36
1257.14 0.01 0.49 1.41 2.33 3.30 4.23 5.11
1271.43 0.01 0.53 1.42 2.52 3.45 4.47 5.22
1285.71 0.01 0.48 1.39 2.44 3.43 4.36 5.17
1300.00 0.01 0.48 1.42 2.41 3.29 4.19 4.99
1314.29 0.01 0.58 1.52 2.47 3.47 4.40 5.20
1328.57 0.01 0.46 1.38 2.43 3.40 4.33 5.07
1342.86 0.01 0.48 1.45 2.49 3.34 4.27 5.05
1357.14 0.01 0.49 1.42 2.44 3.44 4.26 5.09
1371.43 0.01 0.48 1.41 2.37 3.31 4.19 4.98
1385.71 0.01 0.49 1.41 2.29 3.10 3.93 4.75
1400.00 0.01 0.42 1.24 2.18 3.12 3.99 4.68
1414.29 0.01 0.46 1.34 2.32 3.17 4.04 4.78
1428.57 0.01 0.45 1.31 2.21 3.19 4.15 4.84
1442.86 0.01 0.51 1.40 2.29 3.15 3.96 4.65
1457.14 0.01 0.52 1.37 2.24 3.15 3.97 4.67
1471.43 0.01 0.48 1.39 2.24 3.07 3.80 4.44
1485.71 0.01 0.51 1.29 2.17 3.02 3.77 4.49
1500.00 0.00 0.50 1.34 2.29 3.07 3.82 4.57
1514.29 0.01 0.54 1.44 2.32 3.15 3.94 4.61
1528.57 0.01 0.49 1.34 2.26 3.06 3.85 4.62
1542.86 0.01 0.48 1.32 2.12 2.95 3.69 4.39
1557.14 0.01 0.48 1.32 2.10 2.92 3.71 4.46
1571.43 0.01 0.50 1.40 2.32 3.16 3.79 4.50
1585.71 0.01 0.48 1.23 1.95 2.80 3.53 4.23
1600.00 0.01 0.57 1.39 2.21 3.07 3.79 4.49
1614.29 0.01 0.48 1.37 2.21 3.03 3.79 4.43
1628.57 0.01 0.54 1.33 2.15 2.84 3.54 4.21
1642.86 0.01 0.51 1.37 2.14 2.92 3.62 4.22
1657.14 0.00 0.55 1.46 2.32 3.12 3.80 4.51
1671.43 0.01 0.46 1.28 2.19 2.93 3.62 4.26
1685.71 0.01 0.44 1.32 2.27 2.99 3.64 4.27
1700.00 0.01 0.50 1.28 2.15 2.91 3.56 4.14
1714.29 0.01 0.54 1.37 2.17 2.92 3.64 4.16
1728.57 0.01 0.48 1.26 2.11 2.85 3.48 4.03
1742.86 0.01 0.41 1.23 2.10 2.86 3.57 4.21
1757.14 0.01 0.48 1.26 2.13 2.93 3.64 4.15
1771.43 0.01 0.49 1.38 2.23 2.96 3.59 4.22
1785.71 0.01 0.48 1.30 2.13 2.89 3.57 4.21
1800.00 0.01 0.51 1.34 2.08 2.76 3.37 3.89
1814.29 0.01 0.50 1.39 2.19 2.82 3.51 4.03
1828.57 0.01 0.52 1.37 2.19 2.94 3.61 4.17
1842.86 0.01 0.47 1.37 2.16 2.86 3.49 3.92
1857.14 0.01 0.54 1.29 2.14 2.78 3.42 3.99
1871.43 0.01 0.51 1.34 2.21 2.92 3.53 4.12
1885.71 0.01 0.51 1.34 2.16 2.80 3.39 3.99
1900.00 0.01 0.51 1.38 2.21 2.90 3.62 4.11
1914.29 0.01 0.48 1.36 2.23 2.98 3.69 4.19
1928.57 0.01 0.51 1.28 2.10 2.79 3.40 3.94
1942.86 0.01 0.48 1.28 2.06 2.81 3.44 3.94
1957.14 0.01 0.50 1.20 2.05 2.85 3.41 3.93
1971.43 0.01 0.53 1.29 2.09 2.78 3.38 3.87
1985.71 0.01 0.48 1.21 2.00 2.64 3.22 3.79
2000.00 0.01 0.51 1.30 2.13 2.92 3.54 4.00
2014.29 0.01 0.57 1.32 2.13 2.86 3.46 3.92
2028.57 0.01 0.44 1.18 2.02 2.73 3.37 3.87
2042.86 0.01 0.51 1.39 2.21 2.99 3.59 4.13
2057.14 0.01 0.50 1.37 2.13 2.90 3.51 4.02
2071.43 0.01 0.50 1.41 2.14 2.91 3.53 3.95
2085.71 0.01 0.46 1.26 2.07 2.79 3.38 3.83
2100.00 0.01 0.46 1.28 2.12 2.92 3.53 4.05
2114.29 0.01 0.48 1.29 2.06 2.82 3.38 3.95
2128.57 0.01 0.51 1.35 2.26 2.93 3.56 4.10
2142.86 0.01 0.51 1.26 2.14 2.84 3.32 3.84
2157.14 0.00 0.46 1.30 2.08 2.72 3.33 3.78
2171.43 0.01 0.46 1.42 2.29 3.04 3.59 4.12
2185.71 0.01 0.43 1.20 2.04 2.71 3.25 3.77
2200.00 0.01 0.48 1.30 2.06 2.75 3.30 3.74
2214.29 0.01 0.52 1.29 2.06 2.82 3.38 3.87
2228.57 0.01 0.51 1.34 2.22 2.92 3.47 4.04
2242.86 0.01 0.44 1.29 2.10 2.82 3.31 3.80
2257.14 0.01 0.45 1.24 2.12 2.87 3.41 3.91
2271.43 0.00 0.40 1.32 2.13 2.82 3.37 3.87
2285.71 0.01 0.46 1.20 2.06 2.81 3.43 3.92
2300.00 0.01 0.51 1.35 2.19 2.90 3.46 3.89
2314.29 0.01 0.51 1.37 2.08 2.73 3.27 3.76
2328.57 0.01 0.40 1.25 2.05 2.73 3.30 3.78
2342.86 0.01 0.47 1.33 2.10 2.80 3.31 3.86
2357.14 0.01 0.50 1.40 2.24 3.01 3.55 4.10
2371.43 0.01 0.47 1.23 2.03 2.73 3.26 3.84
2385.71 0.01 0.46 1.18 1.96 2.70 3.33 3.80
2400.00 0.01 0.49 1.35 2.16 2.92 3.45 3.96
2414.29 0.01 0.50 1.27 2.06 2.76 3.29 3.79
2428.57 0.01 0.51 1.26 2.02 2.69 3.25 3.73
2442.86 0.01 0.48 1.30 2.08 2.71 3.32 3.82
2457.14 0.01 0.53 1.22 1.95 2.61 3.17 3.70
2471.43 0.01 0.46 1.23 2.10 2.72 3.27 3.78
2485.71 0.01 0.51 1.34 2.20 2.86 3.43 3.87
2500.00 0.01 0.41 1.17 2.04 2.73 3.38 3.84
2514.29 0.01 0.43 1.25 2.09 2.81 3.42 3.87
2528.57 0.01 0.40 1.13 1.99 2.68 3.25 3.72
2542.86 0.01 0.44 1.25 2.10 2.79 3.43 3.86
2557.14 0.01 0.51 1.38 2.19 2.93 3.55 4.02
2571.43 0.01 0.48 1.29 2.06 2.77 3.34 3.82
2585.71 0.01 0.47 1.26 2.10 2.76 3.40 3.87
2600.00 0.01 0.46 1.20 1.90 2.58 3.16 3.66
2614.29 0.01 0.50 1.36 2.13 2.87 3.42 3.89
2628.57 0.01 0.48 1.29 2.11 2.74 3.33 3.77
2642.86 0.01 0.43 1.25 1.96 2.75 3.34 3.81
2657.14 0.01 0.54 1.30 2.13 2.84 3.41 3.94
2671.43 0.01 0.52 1.30 2.07 2.82 3.38 3.91
2685.71 0.01 0.46 1.26 2.16 2.87 3.50 3.99
2700.00 0.00 0.47 1.25 2.13 2.80 3.35 3.84
2714.29 0.01 0.48 1.33 2.11 2.81 3.37 3.81
2728.57 0.01 0.46 1.24 2.08 2.78 3.41 3.87
2742.86 0.01 0.46 1.34 2.06 2.75 3.42 3.89
2757.14 0.01 0.53 1.39 2.22 2.96 3.61 4.11
2771.43 0.01 0.46 1.29 2.09 2.78 3.30 3.80
2785.71 0.01 0.46 1.20 2.04 2.68 3.23 3.69
2800.00 0.01 0.47 1.29 2.05 2.85 3.42 3.87
2814.29 0.01 0.43 1.26 2.07 2.78 3.33 3.83
2828.57 0.01 0.53 1.41 2.31 3.00 3.59 4.09
2842.86 0.01 0.45 1.22 2.05 2.73 3.39 3.83
2857.14 0.01 0.46 1.28 2.13 2.80 3.38 3.90
2871.43 0.01 0.48 1.29 2.08 2.78 3.38 3.84
2885.71 0.01 0.44 1.17 1.93 2.61 3.26 3.77
2900.00 0.01 0.47 1.31 2.10 2.74 3.29 3.81
2914.29 0.01 0.47 1.32 2.16 2.94 3.51 3.94
2928.57 0.01 0.40 1.21 1.94 2.64 3.21 3.68
2942.86 0.01 0.44 1.25 1.99 2.74 3.26 3.71
2957.14 0.01 0.52 1.39 2.21 2.98 3.59 4.02
2971.43 0.01 0.45 1.23 2.02 2.68 3.25 3.69
2985.71 0.01 0.46 1.29 1.98 2.60 3.17 3.65
3000.00 0.01 0.54 1.37 2.22 3.03 3.57 4.03
3014.29 0.01 0.51 1.34 2.12 2.80 3.36 3.81
3028.57 0.01 0.55 1.39 2.25 2.92 3.51 4.02
3042.86 0.01 0.48 1.36 2.12 2.92 3.51 3.99
3057.14 0.01 0.51 1.38 2.22 2.91 3.48 3.94
3071.43 0.01 0.49 1.37 2.24 2.94 3.51 3.98
3085.71 0.01 0.44 1.21 2.01 2.66 3.25 3.78
3100.00 0.01 0.51 1.37 2.23 2.96 3.50 3.97
