Time	First	Second	Third	Fourth	Fifth	Sixth	Seventh
0.00 9.80 0.86 0.39 0.25 0.18 0.14 0.11
14.29 5.35 0.88 0.41 0.26 0.18 0.14 0.12
28.57 4.46 0.96 0.43 0.26 0.19 0.15 0.12
42.86 0.89 0.82 0.37 0.24 0.18 0.14 0.11
57.14 6.24 0.78 0.41 0.25 0.18 0.14 0.11
71.43 9.80 0.84 0.39 0.25 0.18 0.14 0.11
85.71 8.02 0.84 0.40 0.26 0.19 0.14 0.12
100.00 3.56 0.81 0.37 0.24 0.18 0.14 0.11
114.29 9.80 0.92 0.42 0.26 0.19 0.15 0.12
128.57 10.69 0.75 0.37 0.25 0.18 0.14 0.11
142.86 6.24 0.85 0.39 0.24 0.18 0.14 0.11
157.14 5.35 0.78 0.37 0.25 0.18 0.14 0.12
171.43 2.67 0.80 0.39 0.26 0.18 0.14 0.11
185.71 8.02 0.87 0.40 0.25 0.19 0.14 0.11
200.00 8.02 0.72 0.37 0.25 0.19 0.14 0.11
214.29 10.69 0.80 0.38 0.25 0.18 0.14 0.11
228.57 12.47 0.78 0.38 0.25 0.19 0.14 0.11
242.86 6.24 0.81 0.39 0.24 0.18 0.14 0.11
257.14 5.35 0.77 0.38 0.24 0.18 0.14 0.11
271.43 8.02 0.90 0.39 0.25 0.18 0.14 0.12
285.71 7.13 0.80 0.36 0.24 0.18 0.14 0.11
300.00 6.24 0.75 0.37 0.24 0.18 0.14 0.11
314.29 5.35 0.75 0.37 0.25 0.18 0.14 0.11
328.57 8.02 0.82 0.38 0.26 0.19 0.14 0.12
342.86 7.13 0.81 0.39 0.26 0.19 0.14 0.12
357.14 7.13 0.82 0.37 0.24 0.18 0.14 0.11
371.43 1.78 0.72 0.39 0.25 0.18 0.14 0.11
385.71 9.80 0.78 0.37 0.25 0.19 0.14 0.11
400.00 8.02 0.95 0.43 0.27 0.19 0.15 0.12
414.29 4.46 0.92 0.41 0.26 0.19 0.15 0.11
428.57 7.13 0.81 0.38 0.24 0.18 0.14 0.12
